,New Weight,Old Weight,Turnover
MONA,0.015522618337805705,0.015421520124595002,0.00010109821321070342
GXS,0.015102122071212499,0.015219972143120002,0.00011785007190750346
NAS,0.012037603869900765,0.012131539839626001,9.393596972523573e-05
LRC,0.01101487782074654,0.011100832902894,8.595508214746111e-05
ENG,0.008431015033280172,0.008496806828846001,6.57917955658293e-05
PIVX,0.011996879748411774,0.011985363161098,1.1516587313773613e-05
GNT,0.027228444294213575,0.027440922653406002,0.00021247835919242786
CVC,0.010387761337060276,0.010485116575677,9.735523861672396e-05
ZCL,0.003476624706294456,0.0033051914621160003,0.00017143324417845558
KMD,0.024221989122418013,0.024245584487916003,2.3595365497990767e-05
BNT,0.016007911699542497,0.014617898572403,0.0013900131271394958
STORJ,0.00698278474959049,0.007037275216624001,5.4490467033510744e-05
ETHOS,0.004943743767380514,0.004894272071150001,4.947169623051306e-05
Currency,New Weight,Old Weight,Turnover
ZEN,0.0005774778001432439,0.000546304606262201,3.1173193881042956e-05
ZEC,0.004648934450900518,0.004404418428599,0.0002445160223015176
ZCL,0.00013488748113354561,0.0001278333096036017,7.054171529943912e-06
XZC,0.0004493591248714259,0.0004296364432087487,1.9722681662677217e-05
XVG,0.0015843929942970742,0.001591740888844,7.347894546925896e-06
XMR,0.01356006497318112,0.013531768510565001,2.829646261611786e-05
XLM,0.03438203026419877,0.034494595401916,0.00011256513771723542
PIVX,0.00046545975692903886,0.00046355215945740523,1.9075974716336306e-06
NANO,0.0021181001728392337,0.0021279232260630002,9.82305322376649e-06
MONA,0.000602252778217086,0.0005964507591288664,5.802019088219567e-06
LTC,0.025633062619890658,0.025505274925852,0.00012778769403865714
IOT,0.011291458912016505,0.011343824991439001,5.236607942249623e-05
HSR,0.0006950475103861762,0.0006958645206077908,8.170102216146407e-07
DOGE,0.0048719401391487975,0.004871739935409,2.0020373979728195e-07
DGB,0.0019681407854376005,0.001952064258856,1.607652658160044e-05
DASH,0.011263668949599228,0.011238879953602001,2.4788995997226948e-05
BTG,0.0032268990589148848,0.003228764969474,1.8659105591152872e-06
BTC,0.8125536349761344,0.8128241662130891,0.0002705312369546409
BCN,0.0030269351472336594,0.003038059635867,1.1124488633340764e-05
BCH,0.06694625210452704,0.06698713686214901,4.088475762197008e-05
Application,New Weight,Old Weight,Turnover
TRX,0.2373326325449789,0.250284205714683,0.012951573169704106
STORJ,0.006213518553272634,0.006857360325970001,0.0006438417726973671
STEEM,0.04070527019115245,0.044373185438802004,0.0036679152476495544
