,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
Total Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
WAVES,383046086.91849023,182571353.11177856,91.06950768559459,18257.135311177855,210.8906763950418,18468.0259875729
QTUM,212423941.50526112,-5918156.695402384,-2.710497308660742,-591.8156695402384,116.9525815207664,-474.86308801947206
ZIL,41372272042.028404,-1152636501.585083,-2.710497308660731,-115263.6501585083,22778.006962905423,-92485.64319560288
KMD,394021962.7117899,-10977499.523991227,-2.71049730866072,-1097.7499523991228,216.93357814793055,-880.8163742511922
AION,1775093749.6393855,-49454326.49895167,-2.7104973086607753,-4945.432649895168,977.2994276945074,-3968.1332222006604
ARK,752457255.0525131,-20963550.108511925,-2.710497308660753,-2096.3550108511927,414.2744826163657,-1682.080528234827
BTS,6950115837.509419,-193631067.60054016,-2.710497308660742,-19363.106760054015,3826.4707043154017,-15536.636055738614
HOT,323252805384.933,-8693885008.554138,-2.619060608270707,-869388.5008554138,177970.75887823827,-691417.7419771756
NULS,493317635.554146,-13743888.975633621,-2.7104973086607087,-1374.3888975633622,271.60201707465757,-1102.7868804887046
ELF,1072685785.281876,-29885155.680870652,-2.710497308660742,-2988.5155680870653,590.5801900688244,-2397.935378018241
ARDR,1968138708.8399343,-54832582.404150486,-2.710497308660742,-5483.258240415049,1083.582675091628,-4399.675565323421
WAN,413082810.54114497,-11508537.049243927,-2.710497308660753,-1150.8537049243928,227.427759471472,-923.4259454529208
Application Index,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding Units per 1 bps,Total Flow Units per 1 bps
LINK,685197518.9843954,-134752473.1141448,-16.434230674149507,-13475.247311414481,-1032.7269746081924,-14507.974286022674
BNB,118083885.32121272,10186262.266665444,9.440673462765536,1018.6262266665444,-177.97556216856938,840.6506644979751
TRX,122978603682.84827,10608495027.871231,9.44067346276556,1060849.5027871232,-185352.86220996984,875496.6405771533
ICX,4847972844.745223,418200355.8226042,9.440673462765492,41820.03558226042,-7306.8453843167335,34513.19019794368
