Ticker,name,Price,percentageChange24HrUsd,Marketcap,Current Marketcap,Volume,Y2050 Supply,Available Supply,Supply % Issued,,,,
Monacoin,Monacoin,0.516925473,0.248488553,54315753.45,33977343.36,63653.82988,105074631.2,65729675,62.5552279,,,,
Factom,Factom,6.134875449,1.276961362,53650111.56,57739165.55,162873.2295,8745102,9411628,107.6217064,,,,
FunFair,FunFair,0.004493288,-0.919290883,49426167.04,28211183.6,971277.5075,11000000000,6278516789,57.07742535,,,,
Syscoin,Syscoin,0.057486281,-2.46039368,48900824.08,31636004.68,181151.6812,850652071,550322687,64.69421586,,,,
Bancor,Bancor,0.596706121,-0.732611735,47345050.47,38360146.26,1236078.363,79344000,64286497,81.0225058,,,,
Mithril,Mithril,0.046325268,-0.93724781,46325267.67,23673145.33,3690655.077,1000000000,511020152,51.1020152,,,,
Endor Protocol,Endor Protocol,0.030694413,0.904633083,46041619.53,27201756.78,889934.5841,1500000000,886211988,59.0807992,,,,
Blocknet,Blocknet,2.080863611,-1.4921113,45349823.41,11753666.55,3781.185159,21793751,5648456,25.91777799,,,,
Cortex,Cortex,0.147130411,1.668509531,44108587.44,22039025.85,3258821.762,299792458,149792458,49.96538572,,,,
Vertcoin,Vertcoin,0.516236676,-0.269719131,43280056.97,25155734.13,815859.6597,83837625.29,48729072,58.12315393,,,,
WaykiChain,WaykiChain,0.200516174,-4.459138298,42108396.6,37897556.94,2555635.064,210000000,189000000,90,,,,
Byteball,Byteball,40.50747299,3.829954505,40507472.99,27504898.22,14089.59321,1000000,679008,67.9008,,,,
Metronome,Metronome,0.943428752,-5.104112933,40177988.96,8510893.424,173641.0395,42587200,9021236,21.18297517,,,,
Dragonchain,Dragonchain,0.090382431,-0.088501275,39180783.77,21549154.5,1707295.839,433500000,238421940,54.99929412,,,,
PumaPay,PumaPay,0.000477189,-0.061514467,37241228.4,10097247.54,207862.2246,78042956829,21159856633,27.11308937,,,,
Iconomi,Iconomi,0.360993845,-0.199262811,36099384.54,35713243.86,17114.05459,100000000,98930340,98.93034,,,,
Mainframe,Mainframe,0.003457088,3.31417851,34570879.36,23297252.38,2649285.347,10000000000,6738981713,67.38981713,,,,
Ethos,Ethos,0.15483917,-0.454555799,34420005.58,15115693.69,516790.8308,222295208,97621898,43.91543069,,,,
Gifto,Gifto,0.03410521,-0.408380151,34105210.14,18901524.29,4094457.309,1000000000,554212222,55.4212222,,,,
Particl,Particl,2.346444014,0.208480498,33449534.76,18934583.04,12184.90296,14255415.67,8069480,56.60641672,,,,
Storm,Storm,0.00330037,-1.234263737,33003703.3,18334816.63,1000255.653,10000000000,5555381609,55.55381609,,,,
Raiden Network Token,Raiden Network Token,0.327806068,-1.26023675,32780606.78,16584999.22,209198.7272,100000000,50593936,50.593936,,,,
Odyssey,Odyssey,0.003036828,12.20064361,30368275.16,18779426.25,9766287.384,10000000000,6183896238,61.83896238,,,,
LBRY Credits,LBRY Credits,0.030038922,5.793085516,30038922.33,6605158.36,37177.47305,1000000000,219886662,21.9886662,,,,
Nxt,Nxt,0.028700815,-0.682153075,28700814.65,28672112.17,612880.4217,1000000000,998999942,99.8999942,,,,
Bitcoin Private,Bitcoin Private,1.219491529,-3.952022403,28075001.06,27659816.63,25736.74917,23021891,22681434,98.52115971,,,,
Centrality,Centrality,0.023012868,-8.443068843,27615441.38,18493896.82,4019.29604,1200000000,803632862,66.96940517,,,,
Metal,Metal,0.353497497,0.520813415,23539005.22,14762862.85,1884946.426,66588888,41762284,62.7165962,,,,
Bread,Bread,0.257746994,2.21032594,22904098.42,22870916.07,266244.8868,88862718,88733978,99.85512485,,,,
Ripio Credit Network,Ripio Credit Network,0.022708984,-1.478117595,22708983.82,11368357.86,1597929.425,1000000000,500610593,50.0610593,,,,
Zclassic,Zclassic,1.073932553,-1.341339934,22488378.27,6670356.174,29403.06948,20940214.75,6211150,29.66134815,,,,
Moeda Loyalty Points,Moeda Loyalty Points,1.139820669,0.590615908,22373412.25,22373412.25,18765174.71,19628888,19628888,100,,,,
QLC Chain,QLC Chain,0.037178871,0.384908664,22307322.35,8922928.939,369908.7193,600000000,240000000,40,,,,
Einsteinium,Einsteinium,0.072369566,5.828346252,21695850.15,15814118.59,2095816.414,299792458,218518908,72.89006183,,,,
OST,OST,0.027059338,-0.656583097,21647470.14,15302889.18,744148.3771,800000000,565530811,70.69135138,,,,
Aragon,Aragon,0.509211355,-0.441039865,20169618.87,18387266.59,12046.64381,39609523,36109302,91.16318316,,,,
Ambrosus,Ambrosus,0.054913391,-0.620242852,19849951.74,7939980.697,345503.688,361477437.5,144590975,40,,,,
Streamr,Streamr,0.019484114,-0.853901397,19484113.99,13193755.74,894112.5528,1000000000,677154514,67.7154514,,,,
SIRIN LABS Token,SIRIN LABS Token,0.033997791,0.307410335,19452383.47,16720824.25,426460.6506,572166103.9,491820906,85.95771449,,,,
Republic Protocol,Republic Protocol,0.019126243,-2.279321912,19126242.51,12097440.64,1242425.918,1000000000,632504823,63.2504823,,,,
PotCoin,PotCoin,0.017933338,3.15768875,19085805.4,3979779.617,2772.659671,1064263990,221920744,20.85203916,,,,
Ignis,Ignis,0.018688844,-0.04454549,18678559.45,14224900.57,399654.142,999449694,761143950,76.15630427,,,,
SALT,SALT,0.151618218,5.781334456,18194186.12,12172461.95,812167.5104,120000000,80283637,66.90303083,,,,
Tierion,Tierion,0.017973101,-0.484877889,17973101.07,7701137.155,234070.6809,1000000000,428481269,42.8481269,,,,
Hydro,Hydro,0.00159054,-0.04454549,17672665.75,6609600.867,185855.2123,11111111111,4155570566,37.40013509,,,,
Nucleus Vision,Nucleus Vision,0.001749594,-4.358097738,17495939.1,10019091.89,198978.5726,10000000000,5726524215,57.26524215,,,,
Quantum Resistant Ledger,Quantum Resistant Ledger,0.164740172,6.429053722,16968237.72,11124738.75,12150.68073,103000000,67528998,65.56213398,,,,
RChain,RChain,0.019484114,8.599052572,16779430.49,7282964.398,129052.2284,861185194,373789868,43.40412151,,,,
Edgeless,Edgeless,0.122933337,-3.936680009,16232978,12249336.73,90289.72194,132046997,99642107,75.45957823,,,,
namecoin,namecoin,0.749740754,-0.372147022,15744555.83,11048479.64,12343.5655,21000000,14736400,70.17333333,,,,
Poet,Poet,0.004970437,-3.888986048,15615089.13,15615089.13,489687.2503,3141592653,3141592653,100,,,,
OAX,OAX,0.144222207,1.636791003,14422220.71,3606889.232,355381.3519,100000000,25009250,25.00925,,,,
Insolar,Insolar,0.283023965,-0.372596624,14151198.24,9198278.859,460252.0657,50000000,32500000,65,,,,
District0x,District0x,0.014077556,-2.682175279,14077556.12,8446533.673,551317.473,1000000000,600000000,60,,,,
DMarket,DMarket,0.235678252,-2.351083092,13415224.02,11834834.2,725118.4116,56921773.17,50216064,88.21943028,,,,
SpankChain,SpankChain,0.01286741,-6.616219569,12867409.96,3860781.254,46016.79345,1000000000,300043386,30.0043386,,,,
Viacoin,Viacoin,0.503008249,0.034533192,11657916.57,11636150.19,307391.6215,23176392.41,23133120,99.81329098,,,,
Refereum,Refereum,0.002266519,1.74037334,11332596.92,8027778.994,607010.489,5000000000,3541897349,70.83794698,,,,
Etherparty,Etherparty,0.011292833,-2.783051093,11292833.42,6628239.383,459924.622,1000000000,586942102,58.6942102,,,,
ETHLend,ETHLend,0.008668443,-1.845544671,11268974.81,9668693.073,149671.5296,1299999942,1115389877,85.79922516,,,,
Dock,Dock,0.011054316,-3.848225517,11054316.13,4847058.898,563462.2419,1000000000,438476595,43.8476595,,,,
Substratum,Substratum,0.018513885,3.008542762,10960219.71,7091206.61,143860.8813,592000000,383021000,64.69949324,,,,
GameCredits,GameCredits,0.100412223,0.118449761,8434313.467,7012398.047,15538.97726,83996880.21,69836100,83.14130219,,,,
Burst,Burst,0.003880917,-2.309112837,8378172.788,7877062.442,24696.28575,2158812800,2029691158,94.01885879,,,,
Aeron,Aeron,0.397157818,-1.852626854,7943156.35,7545998.533,2026680.942,20000000,19000000,95,,,,
Everex,Everex,0.295130501,-0.507516821,7378262.531,6603544.965,242865.1804,25000000,22375000,89.5,,,,
Viberate,Viberate,0.027478288,-0.346672638,5495657.669,5033604.645,869212.2119,200000000,183184796,91.592398,,,,
LinkEye,LinkEye,0.005060922,13.16886767,5060921.878,3036553.127,2608213.576,1000000000,600000000,60,,,,
BLOOM,BLOOM,0.033162757,1.168506142,4974413.593,1587225.841,51958.73488,150000000,47861697,31.907798,,,,
POA Network,POA Network,0.032606068,0.322488002,462369.4235,7178789.699,188365.2348,14180471.53,220167290,1552.60909,,,,
