Symbol,name,Price,percentageChange24HrUsd,Marketcap,Current Marketcap,Volume,Y2050 Supply,Available Supply,Supply % Issued
AION,Aion,0.106630673,-9.174653373,68360422.62,31121938.72,1670058.976,641095291,291866662,45.52625266
EDO,Eidoo,0.756057965,-6.214858276,67507150.82,22123360.64,412302.075,89288327.07,29261461,32.77187731
ELA,Elastos,2.007161153,-11.05326988,66236318.06,29386744.08,2332749.364,33000000,14640949,44.36651212
PAI,Project Pai,0.029257028,-10.32429481,64156076.79,41310279.25,195570.9016,2192843250,1411977969,64.39028275
BLOCK,Blocknet,2.897698037,-2.224888884,63151709.5,16186578.91,14506.95556,21793751,5586013,25.63126008
GXS,GXChain,0.61763199,-9.491322604,61763198.99,37057919.39,1694329.582,100000000,60000000,60
GNT,Golem,0.061661067,-10.55589372,61661066.74,59417960.45,1535105.933,1000000000,963622000,96.3622
PPT,Populous,1.156999727,-10.4658923,61612834.09,61612834.09,1837985.507,53252246,53252246,100
NAS,Nebulas,0.607339528,-8.857933459,60733952.85,27633948.55,4362917.247,100000000,45500000,45.5
WAN,Wanchain,0.289155065,-8.122913087,60722563.57,30694530.97,2538775.52,210000000,106152493,50.54880619
SMART,SmartCash,0.012023462,-10.33527131,60117311.17,16999483.87,897713.7211,5000000000,1413859298,28.27718596
FCT,Factom,6.500752968,-5.518758565,56849747.78,56849747.78,227556.3591,8745102,8745102,100
CVC,Civic,0.05532147,-10.56402574,55321470.01,24341446.8,1718323.545,1000000000,440000000,44
ARDR,Ardor,0.054630795,-9.298189435,54576136.84,54576136.84,838162.1449,998999495,998999495,100
MONA,Monacoin,0.504693223,-7.971718333,53030454.27,33173321.52,655350.6533,105074631.2,65729675,62.5552279
PAY,TenX,0.236750453,-4.435373679,48533842.77,27071907.84,510515.0994,205000000,114347861,55.77944439
ENG,Enigma,0.321022334,-10.82193004,48153350.15,24024082.31,1175557.143,150000000,74836171,49.89078067
LOOM,Loom Network,0.046257221,-8.032655695,46257220.97,30488449.86,7385535.399,1000000000,659106821,65.9106821
KCS,KuCoin Shares,0.432858947,17.76438591,43285894.71,38931297.34,567165.6347,100000000,89939916,89.939916
MET,Metronome,1.002669852,-14.03707928,42700901.52,8964466.068,179892.4887,42587200,8940596,20.9936225
PMA,PumaPay,0.000531099,-0.873871766,41448537.74,11131759.28,450734.1544,78042956829,20959856632,26.85682025
EDR,Endor Protocol,0.02754942,-12.69211753,41324129.31,24414625.86,1921973.178,1500000000,886211988,59.0807992
BNT,Bancor,0.518981125,-11.16540439,41178038.39,32048067.95,1940922.935,79344000,61751895,77.82805883
FUN,FunFair,0.00368007,-9.739998663,40480767,22172188.59,1157696.933,11000000000,6024937089,54.77215535
SYS,Syscoin,0.046924216,-12.16104588,39916181.76,25752805.26,669269.6055,850652071,548816950,64.51720612
NMR,Numeraire,3.44443638,-9.947312806,37888800.18,4647674.452,54456.73827,11000000,1349328,12.26661818
ENJ,Enjin Coin,0.036277197,-8.35939688,36277197.08,27671471.96,2279349.734,1000000000,762778665,76.2778665
ICN,Iconomi,0.360993845,-0.199262811,36099384.54,35713243.86,17114.05459,100000000,98930340,98.93034
CTXC,Cortex,0.115422163,-11.7389613,34602693.85,17289369.45,5840076.702,299792458,149792458,49.96538572
ETHOS,Ethos,0.153115545,-2.951240084,34036851.92,14281169.56,1943407.05,222295208,93270540,41.95796249
GBYTE,Byteball,33.5829701,-9.068701872,33582970.1,22803105.36,8482.779222,1000000,679008,67.9008
MITH,Mithril,0.033507448,-9.218973513,33507447.58,16984307.84,3158186.025,1000000000,506881576,50.6881576
DRGN,Dragonchain,0.07614843,2.19164758,33010344.48,18155456.45,195031.3832,433500000,238421940,54.99929412
VTC,Vertcoin,0.381185129,-11.27187034,31957656.01,18424181.82,1387569.493,83837625.29,48333947,57.65185599
KNC,Kyber Network,0.140706953,-11.11776942,31799771.31,22122940.92,5311145.239,226000000,157227063,69.5694969
PART,Particl,2.212681341,-9.474615213,31542692.26,17855187.83,14105.12245,14255415.67,8069480,56.60641672
WICC,WaykiChain,0.136704692,-13.63941214,28707985.3,25837186.77,1036225.968,210000000,189000000,90
MFT,Mainframe,0.002770121,-9.174158057,27701206.98,15914277.04,1738067.575,10000000000,5744976040,57.4497604
GTO,Gifto,0.02761669,-9.674140938,27616690.44,14753173.56,14379800.12,1000000000,534212222,53.4212222
CENNZ,Centrality,0.023012868,-8.443068843,27615441.38,18493896.82,4019.29604,1200000000,803632862,66.96940517
STORM,Storm,0.002732174,-10.36897079,27321738.39,14902009.62,1244766.689,10000000000,5454268470,54.5426847
BTCP,Bitcoin Private,1.126148931,-18.33085875,25926077.93,25410976.29,61665.74634,23021891,22564490,98.01319101
RDN,Raiden Network Token,0.256801412,-9.467320933,25680141.15,12992594.18,1261334.404,100000000,50593936,50.593936
LBC,LBRY Credits,0.025171919,-9.388027618,25171919.36,5392367.306,23374.58697,1000000000,214221539,21.4221539
NXT,Nxt,0.024369456,-11.22476533,24369456.21,24345085.34,723872.0905,1000000000,998999942,99.8999942
RHOC,RChain,0.026492705,5.09454342,22815125.11,9902704.627,241750.4369,861185194,373789868,43.40412151
ZCL,Zclassic,1.07264386,-20.58840732,22461392.77,6452435.506,203872.9521,20940214.75,6015450,28.72678276
OCN,Odyssey,0.002161014,-10.46268009,21610141.04,13363486.99,4905657.937,10000000000,6183896238,61.83896238
EDG,Edgeless,0.162602437,-10.84131307,21471163.53,16202049.44,103399.7399,132046997,99642107,75.45957823
MTL,Metal,0.314199991,-13.61959473,20922228.04,13029815.52,1594007.693,66588888,41469815,62.27738027
POT,PotCoin,0.017872971,-9.796905879,19021558.93,3963944.311,7879.173686,1064263990,221784303,20.83921894
QRL,Quantum Resistant Ledger,0.18362485,-7.90079857,18913359.56,12354862.19,4495.934441,103000000,67283171,65.32346699
BRD,Bread,0.210794801,-8.703516404,18731798.96,18704661.24,159642.4063,88862718,88733978,99.85512485
SALT,SALT,0.155525992,-10.25977283,18663119.02,12486145.61,222803.0221,120000000,80283337,66.90278083
AMB,Ambrosus,0.050241641,-12.50750217,18161219.7,7264487.879,570006.2443,361477437.5,144590975,40
NCASH,Nucleus Vision,0.001708129,-9.824514605,17081289.4,9785478.19,170879.6551,10000000000,5728770212,57.28770212
OST,OST,0.021317465,-10.61982054,17053971.67,11226847.63,953095.492,800000000,526650230,65.83127875
DATA,Streamr,0.016962246,-12.76090963,16962245.92,11486061.39,1156055.142,1000000000,677154514,67.7154514
REN,Republic Protocol,0.016051521,-9.381365037,16051521.3,10176180.12,201946.9182,1000000000,633969823,63.3969823
HYDRO,Hydro,0.001441981,-7.881765877,16022007.08,5880138.001,411381.7291,11111111111,4077820360,36.70038324
RCN,Ripio Credit Network,0.015884039,-2.239995982,15884039.04,7951718.204,1509042.587,1000000000,500610593,50.0610593
MLN,Melon,12.66452712,-20.42546382,15830658.9,14523515.06,60601.51254,1250000,1146787,91.74296
MDA,Moeda Loyalty Points,0.800071572,-7.327948838,15704515.29,15704515.29,4575872.188,19628888,19628888,100
ANT,Aragon,0.391497743,-6.439867942,15507038.86,14136710.23,41193.98625,39609523,36109302,91.16318316
SRN,SIRIN LABS Token,0.026828429,-12.69759849,15350317.82,13194782.37,981488.9446,572166103.9,491820906,85.95771449
IGNIS,Ignis,0.015254637,-10.33527817,15246242.55,11610974.87,562540.959,999449694,761143950,76.15630427
TNT,Tierion,0.014799275,-11.51204111,14799274.96,6341212.115,909035.2792,1000000000,428481269,42.8481269
QLC,QLC Chain,0.024323937,-11.07260832,14594361.92,5837744.769,381598.8653,600000000,240000000,40
POE,Poet,0.004325942,-11.00441788,13590347.33,10633087.75,851946.4769,3141592653,2457982092,78.24000001
